le2m | 19/12/2015 - 10:08:46 | INFO | ==============================
le2m | 19/12/2015 - 10:08:46 | INFO | Logger LE2M created
le2m | 19/12/2015 - 10:08:46 | INFO | APPDIR: /home/irtimid/Documents/travail/programmes/le2m-v2.1/le2m
le2m | 19/12/2015 - 10:08:46 | INFO | PARTSDIR: /home/irtimid/Documents/travail/programmes/le2m-v2.1/le2m/parts
le2m | 19/12/2015 - 10:08:46 | INFO | Command ligne options: {'lang': 'fr', 'namebase': 'data.sqlite', 'parts': [], 'dirbase': None, 'port': 9998, 'notest': True}
le2m | 19/12/2015 - 10:08:47 | INFO | Hostname: Dim-Latitude-E6520
le2m | 19/12/2015 - 10:08:47 | INFO | IP: 127.0.1.1
le2m | 19/12/2015 - 10:08:47 | INFO | Session name: 201512191008
le2m | 19/12/2015 - 10:08:47 | INFO | Server is listening on port 9998
le2m | 19/12/2015 - 10:09:14 | INFO | Expérience: Experiment(parts=['GneezyPotter', 'CommonPoolResource', 'Dictator', 'prisonnersDilemma'], dirbase=u'/home/irtimid/temp', basename=u'data.sqlite', istest=True)
le2m | 19/12/2015 - 10:09:14 | INFO | Partie GneezyPotter chargée
le2m | 19/12/2015 - 10:09:14 | INFO | Partie CommonPoolResource chargée
le2m | 19/12/2015 - 10:09:14 | INFO | Partie Dictator chargée
le2m | 19/12/2015 - 10:09:14 | INFO | Partie prisonnersDilemma chargée
le2m | 19/12/2015 - 10:09:14 | INFO | Base de données crée: /home/irtimid/temp/data.sqlite
le2m | 19/12/2015 - 10:09:14 | INFO | Session 201512191008 ajoutée à la base de données
le2m | 19/12/2015 - 10:09:33 | INFO | Connexion du poste Dim-Latitude-E6520, avec l'IP 127.0.1.1
le2m | 19/12/2015 - 10:09:33 | INFO | Joueur Dim-Latitude-E6520 (j0) ajouté à la base de données
le2m | 19/12/2015 - 10:09:33 | INFO | Connexion du poste Dim-Latitude-E6520, avec l'IP 127.0.1.1
le2m | 19/12/2015 - 10:09:33 | INFO | Joueur Dim-Latitude-E6520 (j1) ajouté à la base de données
